Class,Proportion [%]
Robert Friedland,0.04
Alexander Frolov,0.04
Maritsa Lazari & family,0.04
Maggie Hardy,0.04
Nithin Kamath,0.04
Samvel Karapetyan,0.04
Kei Hoi Pang,0.04
Mustafa Rahmi Koc,0.04
Yuri Kovalchuk & family,0.04
Geoffrey Kwok,0.04
Jonathan Kwok,0.04
Hans Langer,0.04
Frank Laukien,0.04
Nadir Godrej,0.04
John Paulson,0.04
Ajay Piramal,0.04
Guanghe Qiu & family,0.04
Stephen Rubin,0.04
Robert Sands,0.04
Erik Selin,0.04
Yonghong Shi & family,0.04
Martua Sitorus,0.04
Guangxin Sun,0.04
Smita Crishna-Godrej,0.04
Sunny Varkey,0.04
Gang Ye,0.04
Ye Xiaoping,0.04
Lei Zhang,0.04
Zhu Gongshan & family,0.04
Isak Andic & family,0.04
Alberto Bombassei,0.04
Cao Longxiang & family,0.04
"Roy Carroll, II.",0.04
Sukanto Tanoto,0.04
Todd Christopher,0.04
Mang Yee Chu & family,0.04
"William Conway, Jr.",0.04
Jean Coutu & family,0.04
Catheline Perier D'Ieteren,0.04
"Edward DeBartolo, Jr.",0.04
Stephen Deckoff,0.04
Feng Hailiang,0.04
"Ernest Garcia, II.",0.04
Maja Oeri,0.04
Carlos Hank Rhon,0.04
Susan Carol Holland,0.04
Hui Ka Yan,0.04
Vivek Jain,0.04
Friedrich Knapp,0.04
Egor Kulkov,0.04
Lin Ming-hsiung,0.04
Lin Xiucheng & family,0.04
Harsh Mariwala,0.04
Gilles Martin,0.04
Sam Goi,0.04
Vikas Oberoi,0.04
Gregorio Perez Companc & family,0.04
Sebastian Piñera & family,0.04
Arvind Poddar,0.04
Alexey Repik,0.04
Haim Saban,0.04
Rodney Sacks,0.04
Karthik Sarma,0.04
Sybill Storz,0.04
John Caudwell,0.04
"William Wrigley, Jr.",0.04
Zhang Wenzhong,0.04
Zhou Jianping,0.04
Joy Alukkas,0.04
Kang An,0.04
Garrett Camp,0.04
Chen Lip Keong,0.04
Choo Chong Ngen,0.04
Euisun Chung,0.04
Daniel Sundheim,0.04
James Clark,0.04
Jacques D'Amours,0.04
John Paul DeJoria,0.04
Bernard Ecclestone & family,0.04
Michael Federmann & family,0.04
Kenneth Feld & family,0.04
Gu Yuhua & family,0.04
Otto Happel,0.04
Gudrun Heine,0.04
God Nisanov,0.04
Zarakh Iliev,0.04
Ipek Kirac,0.04
Lee Seo-hyun,0.04
Li Jianquan & family,0.04
Li Xiaohua & family,0.04
Liu Xiaodong,0.04
Martin Lorentzon,0.04
Ronald McAulay,0.04
Erwin Franz Mueller,0.04
Georg Nemetschek & family,0.04
Donald Horton & family,0.04
Jeff Sutton,0.04
"Henry Sy, Jr.",0.04
Andrew Tan,0.04
Arvind Tiku,0.04
Byron Trott,0.04
Donald Trump,0.04
Peter Unger,0.04
Roger Wang,0.04
Oprah Winfrey,0.04
Alexander Skorobogatko,0.04
Xie Weitong,0.04
Ye Guofu,0.04
Brian Acton,0.04
Abdulla Al Futtaim & family,0.04
Edward Bass,0.04
Koos Bekker,0.04
Otto Philipp Braun,0.04
Chen Tei-fu,0.04
Abilio dos Santos Diniz,0.04
Wu Zhigang & family,0.04
Bill Haslam,0.04
J. Tomilson Hill,0.04
Jay-Z,0.04
Baba Kalyani,0.04
Saban Cemil Kazanci,0.04
Brad Kelley,0.04
Wolfgang Leitner,0.04
Li Hongxin & family,0.04
Lin Chen-hai,0.04
Yuzhu Shi,0.04
Prayudh Mahagitsiri,0.04
Willy Michel,0.04
Lachhman Das Mittal,0.04
Bobby Murphy,0.04
Tomas Olivo Lopez,0.04
Eren Ozmen,0.04
John Pritzker,0.04
Qiu Minxiu,0.04
Ferit Faik Sahenk,0.04
Wenrong Shen,0.04
Lu Yiwen,0.04
Hans Sy,0.04
Herbert Sy,0.04
Lucio Tan,0.04
Tsai Ming-kai,0.04
Ted Turner,0.04
David Walentas,0.04
Urs Wietlisbach,0.04
Jerry Yang,0.04
Yang Jianliang & family,0.04
Marcel Erni,0.04
Mortimer Zuckerman,0.04
John Armitage,0.04
Lee Bass,0.04
John Bicket,0.04
Sanjit Biswas,0.04
Timothy Boyle,0.04
Morris Chang,0.04
Chao Teng-hsiung,0.04
Stanley Motta,0.04
Yang Weidong & family,0.04
Doris Fisher,0.04
Gerald Ford,0.04
Bernard Fraisse & family,0.04
Alfred Gantner,0.04
Paul Gauselmann & family,0.04
Mitchell Goldhar,0.04
Peter Hargreaves,0.04
Xuande Hua & family,0.04
Kwek Leng Kee,0.04
Arnout Schuijff,0.04
Kalanithi Maran,0.04
Jed McCaleb,0.04
Fatih Ozmen,0.04
Pan Laican,0.04
Tor Peterson,0.04
Daniel Pritzker,0.04
Jinxing Qi,0.04
Qiu Jianping & family,0.04
Rajan Raheja & family,0.04
Matthias Reinhart,0.04
Catherine Lozick,0.04
Maria Del Pino,0.04
Deng Weiming & family,0.04
"John Dorrance, III.",0.04
Carl Douglas,0.04
Eric Douglas,0.04
Fiona Geminder,0.04
Stewart Horejsi & family,0.04
Hou Juncheng,0.04
Zhenda Huang & family,0.04
Alec Gores,0.04
Alicia Koplowitz,0.04
Adam Kwok,0.04
Henry Laufer,0.04
Louis Le Duff,0.04
Mark Leonard & family,0.04
Li Guoqiang,0.04
Li Yongxin,0.04
Peter Lim,0.04
Lu Weiding,0.04
Dmitry Kamenshchik,0.04
Evan Spiegel,0.04
Glen Taylor,0.04
Thomas Tull,0.04
Bulat Utemuratov,0.04
Gustav Magnar Witzoe,0.04
Wong Man Li,0.04
Guangming Wu,0.04
Zhu Yi,0.04
Ben Ashkenazy,0.04
Ray Davis,0.04
Julian Baker,0.04
David Baszucki,0.04
Joesley Batista,0.04
Wesley Batista,0.04
Yvonne Bauer,0.04
Miriam Baumann-Blocher,0.04
Cen Junda,0.04
Richard Chandler,0.04
Chen Zhiping,0.04
Fernando Chico Pardo,0.04
Felix Baker,0.04
Bill Alfond,0.04
Susan Alfond,0.04
Ted Alfond,0.04
Riley Bechtel & family,0.04
Thor Bjorgolfsson,0.04
Charles Bronfman,0.04
Vivek Chand Burman,0.04
Herb Chambers,0.04
Cheng Yixiao,0.04
Sergio Mantegazza,0.04
Peggy Cherng,0.04
Leon G. Cooperman,0.04
Yadu Hari Dalmia & family,0.04
Henry Davis,0.04
Oleg Deripaska,0.04
Sergey Dmitriev,0.04
Joseph Edelman,0.04
Sandeep Engineer,0.04
Alceu Elias Feldmann & family,0.04
Serge Godin,0.04
Andrew Cherng,0.04
Hans Melchers,0.04
C. Dean Metropoulos,0.04
Hans Georg Naeder,0.04
Falguni Nayar,0.04
James Packer,0.04
Alexander Ponomarenko,0.04
Nicholas Pritzker,0.04
Alejandro Santo Domingo,0.04
Steven Sarowitz,0.04
S. Daniel Abraham,0.04
Leonard Schleifer,0.04
Dieter Schnabel,0.04
Michael S. Smith,0.04
Julia Thiele-Schuerhoff,0.04
John Tyson & family,0.04
Anna Katharina Viessmann,0.04
Jurgen Wirtgen,0.04
Stefan Wirtgen,0.04
Zhao Lixin,0.04
Hongyi Zhou,0.04
Maria-Elisabeth Schaeffler-Thumann,0.04
Elizabeth Uihlein,0.04
Richard Uihlein,0.04
Hayes Barnard,0.04
William Berkley,0.04
Charles Cohen,0.04
Yakir Gabay,0.04
Huang Li,0.04
Brad Jacobs,0.04
Ji Qi,0.04
Chan Tan Ching-fen,0.04
Jim Kavanaugh,0.04
Richard LeFrak & family,0.04
Mikhail Lomtadze,0.04
Tom Morris,0.04
Shigenobu Nagamori,0.04
Daniel Och,0.04
Horst Paulmann & family,0.04
Anthony Pritzker,0.04
John Sall,0.04
Jason Jiang,0.04
Tsai Hong-tu,0.04
Nusli Wadia,0.04
Wu Yiling,0.04
Yu Renrong,0.04
Zhu Baoguo & family,0.04
Rahul Bhatia,0.04
Francesco Gaetano Caltagirone,0.04
Barry Diller,0.04
Wesley Edens,0.04
Steven Udvar-Hazy,0.04
Rakesh Gangwal,0.04
Joseph Grendys,0.04
Martha Ingram & family,0.04
Li Xiang,0.04
"H. Ross Perot, Jr.",0.04
Chandru Raheja,0.04
Trevor Rees-Jones,0.04
Yasumitsu Shigeta,0.04
Su Qingcan,0.04
Tsai Cheng-ta,0.04
Stephen Feinberg,0.04
Masahiro Noda,0.04
Cliff Obrecht,0.04
Melanie Perkins,0.04
J.B. Pritzker,0.04
Juan Roig,0.04
Jerry Speyer & family,0.04
Lawrence Stroll,0.04
Tung Chee Chen,0.04
Wang Junlin,0.04
Howard Schultz,0.04
Zeng Fangqin,0.04
Zhang Jian,0.04
Rocco Basilico,0.04
Maurizio Billi,0.04
Fashu Chen,0.04
Giuseppe Crippa & family,0.04
Daniel D'Aniello,0.04
Claudio Del Vecchio,0.04
Clemente Del Vecchio,0.04
Xia Zuoquan,0.04
Richard Schulze,0.04
Yitzhak Tshuva,0.04
Rajiv Bajaj,0.04
Sanjiv Bajaj,0.04
Leonid Boguslavsky,0.04
Jim Coulter,0.04
Nicolas D'Ieteren,0.04
Beatriz Davila de Santo Domingo,0.04
Bob Gaglardi,0.04
Masahiro Miki,0.04
Pansy Ho,0.04
Alan Howard,0.04
Huang Yi,0.04
Peter Kellogg,0.04
Vyacheslav Kim,0.04
Josh Kushner,0.04
Samuel Tak Lee,0.04
Edwin Leong,0.04
"Stephen Mandel, Jr.",0.04
Mohamed Mansour,0.04
Jaime Gilinski Bacal,0.04
Hubert Burda,0.04
Nick Caporella,0.04
John Catsimatidis,0.04
Scott Cook,0.04
Luca Garavoglia,0.04
Antti Herlin,0.04
Hong Jie,0.04
"Jeremy Jacobs, Sr. & family",0.04
Igor Kesaev,0.04
Mark Stevens,0.04
Joao Moreira Salles,0.04
Walther Moreira Salles Junior,0.04
Arturo Moreno,0.04
Peter Spuhler,0.04
Donald Sterling,0.04
Kerry Stokes,0.04
Ken Xie,0.04
Liangzhi Xie & family,0.04
Sid Bass,0.04
Mary Alice Dorrance Malone,0.04
Pyotr Aven,0.04
Chan Laiwa & family,0.04
Chen Hua,0.04
Thomas Hagen,0.04
"Rupert Johnson, Jr.",0.04
Dewi Kam,0.04
Min Kao & family,0.04
Marc Ladreit de Lacharriere,0.04
Eric Lefkofsky,0.04
Danielle Bellon & family,0.04
Lin Li,0.04
Michael Moritz,0.04
Jean (Gigi) Pritzker,0.04
E. Joe Shoen,0.04
Jeff Skoll,0.04
Lynsi Snyder,0.04
Djoko Susanto,0.04
Tahir & family,0.04
Peter Thiel,0.04
Andrej Babis,0.04
Lin Bin,0.04
"Austen Cargill, II.",0.04
"James Cargill, II.",0.04
Vanich Chaiyawan,0.04
Chen Dongsheng,0.04
Mong-Koo Chung,0.04
Kenneth Dart,0.04
Giuseppe De'Longhi & family,0.04
Guenther Fielmann & family,0.04
W. Herbert Hunt,0.04
Ben Chestnut,0.04
Somurai Jaruphnit,0.04
Marianne Liebmann,0.04
Jorge Moll Filho & family,0.04
Fernando Roberto Moreira Salles,0.04
Pedro Moreira Salles,0.04
Gabe Newell,0.04
Alfred Oetker,0.04
Carl Ferdinand Oetker,0.04
Julia Oetker,0.04
Ruan Hongliang & family,0.04
James Irsay,0.04
Elisabeth DeLuca & family,0.04
Guangchang Guo,0.04
Vinod Rai Gupta,0.04
John Henry,0.04
Travis Kalanick,0.04
Koon Poh Keong,0.04
Dan Kurzius,0.04
Paul Lee,0.04
Tobi Lutke,0.04
Juergen Blickle,0.04
Rajan Mittal,0.04
Rakesh Mittal,0.04
Isaac Perlmutter,0.04
"Bernard Saul, II.",0.04
Shaul Shani,0.04
Steven Spielberg,0.04
Jerzy Starak,0.04
Torbjorn Tornqvist,0.04
Rufino Vigil Gonzalez,0.04
Zhang Daocai,0.04
Gail Miller,0.04
Geoffrey Palmer,0.04
Roger Penske,0.04
Ravi Pillai,0.04
David Rubenstein,0.04
Hilton Schlosberg,0.04
Klaus-Peter Schulenberg,0.04
Lynn Schusterman & family,0.04
Isabella Seràgnoli,0.04
Shen Guojun,0.04
Leonardo Maria Del Vecchio,0.04
Pat Stryker,0.04
Roman Trotsenko,0.04
Harald Tschira,0.04
Udo Tschira,0.04
Vincent Viola,0.04
Wu Shaoxun,0.04
Steve Wynn,0.04
Jon Yarbrough,0.04
Zhou Bajin,0.04
Warren Stephens,0.04
Ron Burkle,0.04
Chen Kaixuan,0.04
Brunello Cucinelli & family,0.04
Antonio Del Valle Ruiz & family,0.04
Gustavo Denegri & family,0.04
Dong Jinggui,0.04
Charles Ergen,0.04
David Filo,0.04
Lindsay Fox,0.04
Aristotelis Mistakidis,0.04
Senapathy Gopalakrishnan,0.04
Luciano Hang,0.04
Michael Hintze,0.04
Hu Baifan,0.04
Hamilton James & family,0.04
Lee Boo-jin,0.04
Li Liangbin,0.04
Liang Feng,0.04
Samir Mehta,0.04
Sudhir Mehta,0.04
Sergei Galitsky,0.04
Or Wai Sheun,0.04
Katharina Otto-Bernstein,0.04
Sergei Popov,0.04
Penny Pritzker,0.04
Theodore Rachmat,0.04
Renzo Rosso & family,0.04
Friede Springer,0.04
Rita Tong Liu,0.04
Timur Turlov,0.04
Cho Tak Wong,0.04
Yoo Jung-hyun,0.04
Abdulla bin Ahmad Al Ghurair & family,0.04
Semahat Sevim Arsel,0.04
Nicolas Berggruen,0.04
George Bishop,0.04
Norman Braman,0.04
Eva Maria Bucher-Haefner,0.04
Cai Dongchen,0.04
Jean-Pierre Cayard,0.04
Frank VanderSloot,0.04
John Coates,0.04
Ryan Cohen,0.04
Deng Wen,0.04
Gurbachan Singh Dhingra,0.04
Kuldip Singh Dhingra,0.04
Martin Ebner,0.04
Charles Edelstenne,0.04
Sergei Gordeev,0.04
Jeff T. Green,0.04
Jonathan Nelson,0.04
Bertil Hult,0.04
Miguel Krigsner,0.04
Kuok Khoon Hong,0.04
Aerin Lauder,0.04
Sheldon Lavin,0.04
Yin Yee Lee,0.04
Vladimir Litvinenko & family,0.04
Daniel Mate,0.04
Ravi Modi,0.04
Farhad Moshiri,0.04
Reed Hastings,0.04
Xiao Yongming & family,0.04
Michael Xie,0.04
Yang Shaopeng,0.04
Nicoletta Zampillo,0.04
Barry Zekelman,0.04
William Ackman,0.04
Somphote Ahunai,0.04
Igor Altushkin,0.04
Ramon Ang,0.04
Arun Bharat Ram,0.04
Markus Blocher,0.04
Richard Branson,0.04
Cho Jung-ho,0.04
Alessandra Garavoglia,0.04
Laurence Graff & family,0.04
"Amos Hostetter, Jr.",0.04
Robert Johnson,0.04
Steven Klinsky,0.04
William Lauder,0.04
Acharya Balkrishna,0.04
Luca Del Vecchio,0.04
Marisa Del Vecchio,0.04
Paola Del Vecchio,0.04
Walter P.J. Droege,0.04
Fan Daidi,0.04
Peter Gassner,0.04
Mikhail Gutseriev,0.04
Patrick Lee,0.04
Leng Youbin,0.04
Wim van der Leegte & family,0.04
Margarita Louis-Dreyfus & family,0.04
Prasert Prasarttong-Osoth,0.04
Ira Rennert,0.04
Dirk Rossmann & family,0.04
Arkady Rotenberg,0.04
Remo Ruffini,0.04
Karin Sartorius-Herbst,0.04
Vivek Chaand Sehgal,0.04
Scott Shleifer,0.04
Thomas Siebel,0.04
Daniel Loeb,0.04
Kwek Leng Beng,0.04
Pablo Legorreta,0.04
Arnon Milchan,0.04
Akio Nitori,0.04
Julio Ponce Lerou,0.04
Rodger Riney & family,0.04
Phil Ruffin,0.04
Naguib Sawiris,0.04
Neil Shen,0.04
John Middleton,0.04
Stephen Smith,0.04
Nik Storonsky,0.04
Jeffrey Talpins,0.04
Carl Thoma,0.04
Todd Wanek,0.04
Xue Hua,0.04
Takao Yasuda,0.04
Karen Virginia Beckmann Legoretta,0.04
Giuliana Benetton,0.04
Luciano Benetton,0.04
Gil Shwed,0.04
Hiroshi Mikitani,0.04
Bob Parsons,0.04
J. Joe Ricketts & family,0.04
Herb Simon,0.04
Leena Tewari,0.04
Stefan von Holtzbrinck,0.04
Hans Peter Wild,0.04
Wu Guanjiang & family,0.04
Yi Zheng,0.04
Peter Gilgan,0.04
Charles Zegar,0.04
Mohed Altrad,0.04
John Arnold,0.04
Bill Austin,0.04
Chen Shibin,0.04
Bennett Dorrance,0.04
Walter Faria,0.04
Walter Frey,0.04
Fu Liquan & family,0.04
John Gandel,0.04
Eric Yuan & family,0.04
