Class,Proportion [%]
Jianping Lai,0.04
Lam Kong,0.04
Stephen Lansdown,0.04
Kevin David Lehmann,0.04
Li Haiyan,0.04
Hua Li,0.04
Lim Kok Thay,0.04
Kishore Mariwala,0.04
Clayton Mathile,0.04
Bruce Karsh,0.04
Hao Hong,0.04
Shmuel Harlap,0.04
Hans-Werner Hector,0.04
Lutz Mario Helmig & family,0.04
Chulong Huang,0.04
Thomas James,0.04
James Jannard,0.04
Willis Johnson,0.04
Lai Shixian,0.04
Xicheng Wang & family,0.04
Solomon Lew,0.04
Liang Xinjun,0.04
Harald Link,0.04
Max Lytvyn,0.04
Igor Makarov,0.04
Howard Marks,0.04
Charles Munger,0.04
Adam Neumann,0.04
Thi Phuong Thao Nguyen,0.04
Ni Yongpei & family,0.04
Chris Larsen,0.04
Wang Zhenhua,0.04
Paul-Heinz Wesjohann & family,0.04
Xie Bingkun & family,0.04
Xu Shugen,0.04
Christoph Zeller,0.04
Zhang Jingzhang & family,0.04
George Argyros & family,0.04
Brian Armstrong,0.04
Albert Avdolyan,0.04
Jeffrey Gundlach,0.04
Aneel Bhusri,0.04
Brett Blundy,0.04
J. Hyatt Brown,0.04
Chen Jinxia,0.04
Chen Xueli,0.04
Dermot Desmond,0.04
Dong Wei,0.04
Tom Ford,0.04
Fu Guangming & family,0.04
Noam Gottesman,0.04
Sezai Bacaksiz,0.04
Sol Daurella,0.04
Mark Davis,0.04
James Dinan,0.04
Dong Fan,0.04
Fritz Draexlmaier,0.04
Bulent Eczacibasi,0.04
Faruk Eczacibasi,0.04
Eduardo Eurnekian,0.04
David Fong,0.04
Alexander Nesis,0.04
Surjit Kumar Gupta,0.04
Caroline Hagen Kjos,0.04
Roberto Hernandez Ramirez,0.04
Reid Hoffman,0.04
Hu Rongda & family,0.04
"B. Wayne Hughes, Jr.",0.04
Hui Wing Mau,0.04
Scott Kapnick,0.04
Richard Kayne,0.04
Guo Zhenyu & family,0.04
Zhang Fan,0.04
Shilong Zhang & family,0.04
Zhang Wanzhen,0.04
Hongfei Zhao,0.04
Zhou Jian,0.04
Zhu Yiwen & family,0.04
Roberto Angelini Rossi,0.04
Mika Anttonen,0.04
David Blitzer,0.04
Alexandra Daitch,0.04
Nikolai Buinov,0.04
Nicola Bulgari,0.04
"Howard Butt, III. & family",0.04
Stephen Butt & family,0.04
Jianxing Che,0.04
Huxiong Chen,0.04
Chen Qiongxiang,0.04
Chen Zhisong,0.04
Manas Chiaravanond,0.04
Prathip Chiravanond,0.04
Julio Bozano,0.04
Peter Sondakh,0.04
Lucy Stitzer,0.04
Elizabeth Sy,0.04
Hermanto Tanoko,0.04
Mehmet Sinan Tara,0.04
Masateru Uno & family,0.04
Vardis Vardinoyannis & family,0.04
Jitendra Virwani,0.04
Wang Chaobin,0.04
Dominika Kulczyk,0.04
Charlotte Colket Weber,0.04
Xie Juhua & family,0.04
Chuanhua Xu & family,0.04
Gavril Yushvaev & family,0.04
Zhang Hongwei,0.04
Anita Zucker,0.04
Cameron Adams,0.04
Will Adderley,0.04
Chu Lam Yiu,0.04
Wang Ren-sheng,0.04
Edward Lampert,0.04
Somsri Lamsam,0.04
James Leprino,0.04
David Lichtenstein,0.04
Lin Dingqiang & family,0.04
Sarah MacMillan,0.04
Strive Masiyiwa,0.04
Robert Miller,0.04
Simon Nixon,0.04
Shi Wen-long,0.04
Ajay Parekh,0.04
Narendrakumar Parekh,0.04
Jennifer Pritzker,0.04
G. Rajendran,0.04
Ren Jianhua,0.04
Larry Robbins,0.04
Dwight Schar,0.04
Shao Jianxiong,0.04
Qinxiang Shao,0.04
Hua Shen,0.04
Kentaro Ogawa,0.04
Wei Yin-Heng,0.04
Wei Ying-Chiao,0.04
Elaine Wynn,0.04
Xu Xudong & family,0.04
Michael Ying,0.04
Yu Qibing & family,0.04
Yuan Fugen & family,0.04
Zhang Ning & family,0.04
Zhao Tao,0.04
Ales Zavoral,0.04
Mohamed Al Fayed,0.04
Andrey Andreev,0.04
Michael Ashcroft,0.04
Pavel Baudis,0.04
Wilhelm Beier & family,0.04
Cao Jianwei,0.04
Huwen Chen,0.04
Phongthep Chiaravanont,0.04
Dou Zhenggang,0.04
Anu Aga,0.04
Zugen Ni,0.04
Florentino Perez,0.04
Victor Pinchuk,0.04
Leonid Radvinsky,0.04
Raveendran Byju,0.04
P.P. Reddy,0.04
Richard Saghian,0.04
Shi Yifeng,0.04
Thaksin Shinawatra,0.04
Wei Yin-Chun,0.04
Timothy Springer,0.04
Venu Srinivasan,0.04
Edward Stack,0.04
Sun Mengquan & family,0.04
Alexander Svetakov,0.04
Torsten Toeller,0.04
Barbara Tyson,0.04
Hamdi Ulukaya,0.04
Wang Linpeng,0.04
Wei Ing-Chou,0.04
Shu Ping,0.04
Cunhui Nan,0.04
Tengyun Nie & family,0.04
Oei Hong Leong,0.04
Clive Palmer,0.04
Matthew Prince,0.04
Linda Pritzker,0.04
P.V. Krishna Reddy,0.04
Bianca Rinehart,0.04
Ginia Rinehart,0.04
Maria Franca Fissolo,0.04
Bhadresh Shah,0.04
Zygmunt Solorz-Zak,0.04
Michal Strnad,0.04
Sylvia Stroeher,0.04
Otto Toto Sugiri,0.04
Larry Tanenbaum,0.04
Wichai Thongtang,0.04
Ion Tiriac,0.04
Hope Welker,0.04
William Young,0.04
T. Denny Sanford,0.04
William Franke,0.04
Mario Germano Giuliani,0.04
Amy Goldman Fowler,0.04
John Hancock,0.04
Hu Yangzhong,0.04
Huang Dawen,0.04
Huang Qiaoling,0.04
Rajiv Jain,0.04
Michael Jordan,0.04
Craig McCaw,0.04
Shlomo Kramer,0.04
Heikki Kyostila,0.04
Martin Lau,0.04
Li Min,0.04
Liang Rubo,0.04
Liang Zhaoxian,0.04
Lin Fanlian,0.04
Aloke Lohia,0.04
Bill Malhotra,0.04
Alexander Mamut,0.04
Diane Kemper,0.04
Ryan Breslow,0.04
Thomas Bruch,0.04
Marina Budiman,0.04
Pradip Burman,0.04
Cai Hongbin,0.04
Cao Kejian,0.04
Giuliana Caprotti,0.04
Marina Caprotti,0.04
Chang Jing,0.04
Duke Reyes,0.04
Gang Chen,0.04
Liying Chen,0.04
Tony Chen,0.04
Chen Xueling,0.04
Cheng Lili,0.04
Cho Jyh-jer,0.04
Weili Dai,0.04
Carmen Daurella Aguilera,0.04
Deng Yingzhong,0.04
Chen Baohua,0.04
Wanmao Xu,0.04
Xu Yuejuan,0.04
Vadim Yakunin,0.04
Yang Yunyun,0.04
Matei Zaharia,0.04
Zan Shengda,0.04
Zhang Xuezheng,0.04
Zhang Yin,0.04
Ning Zhao,0.04
Oleg Boyko,0.04
Zhu Xingliang,0.04
Hari Krishan Agarwal,0.04
Farkhad Akhmedov,0.04
Prem Kumar Arora,0.04
Joseph Bae,0.04
Abigail Bennett,0.04
Sara Blakely,0.04
Lloyd Blankfein,0.04
Henadiy Boholyubov,0.04
Stephane Bonvin,0.04
Zhou Wen & family,0.04
Huang Shan,0.04
Huang Xiaofen & family,0.04
Hiroshi Ishibashi,0.04
Masayuki Ishihara,0.04
Chatchai Kaewbootta,0.04
Nikhil Kamath,0.04
Jonas Kamprad,0.04
Mathias Kamprad,0.04
Peter Kamprad,0.04
Shlomo Eliahu,0.04
Sunjay Kapur,0.04
Ali Metin Kazanci,0.04
Kangbao Ke & family,0.04
Carsten Koerl,0.04
Koo Bon-sik,0.04
Andrei Kosogov,0.04
Yogesh Kothari,0.04
Arvind Lal,0.04
Manuel Lao Hernández,0.04
Fumio Kaneko,0.04
Henry Engelhardt,0.04
Gabriel Escarrer,0.04
Daniel Feffer,0.04
Ruben Feffer,0.04
Gleb Fetisov,0.04
Paul Fireman,0.04
Robert Fisher,0.04
Bernd Freier,0.04
Donald Friese,0.04
David Hindawi,0.04
Rahul Gautam,0.04
David Golub,0.04
Pavel Golubkov,0.04
Cristina Green,0.04
Philip Green,0.04
Said Gutseriev,0.04
Polys Haji-Ioannou,0.04
He Zuxun,0.04
Christian Herz,0.04
Michaela Herz,0.04
Gan Zhongru,0.04
Jeffrey Michael & family,0.04
Alan Miller & family,0.04
Ulrich Mommert & family,0.04
Neide Helena de Moraes,0.04
Scott Nuttall,0.04
Kailashchandra Nuwal,0.04
Axel Oberwelland & family,0.04
Jonathan Oringer,0.04
Vitaly Orlov,0.04
Xu Shijun & family,0.04
Markus Persson,0.04
Mark Pincus,0.04
Murdaya Poo,0.04
Forrest Preston,0.04
Qian Ying,0.04
Jimmy Rane,0.04
Andrei Rappoport,0.04
Hugo Ribeiro & family,0.04
Bennett Rosenthal,0.04
Jose Isaac Peres & family,0.04
Ke Yunfeng & family,0.04
Alexander Klyachin,0.04
Christine Knauf,0.04
Karl Knauf,0.04
Suresh Krishna,0.04
Guy Laliberté,0.04
Lee Su-jin,0.04
Li Guoqing,0.04
Li Ruiqiang,0.04
Lorinc Meszaros,0.04
Guangwei Liang,0.04
Liu Ming Hui,0.04
Frederic Luddy,0.04
"Cargill MacMillan, III.",0.04
John MacMillan,0.04
Martha MacMillan,0.04
William MacMillan,0.04
Keshub Mahindra,0.04
Mao Zhongwu,0.04
Jorge Mas,0.04
Zhen Li & family,0.04
Lina Tombolato,0.04
Ching Bor Tung,0.04
Joop van den Ende,0.04
Ruben Vardanyan & family,0.04
Sandro Veronesi & family,0.04
Thongma Vijitpongpun,0.04
Thomas von Koch,0.04
Wang Fuji,0.04
Wang Shih-Chung,0.04
Atul Ruia,0.04
J. Wayne Weaver,0.04
Drorit Wertheim,0.04
Cameron Winklevoss,0.04
Tyler Winklevoss,0.04
Wu Chung-yi,0.04
Eugene Wu,0.04
Wu Yonghua,0.04
Xia Xinde,0.04
Wenbo Xiang,0.04
Xu Jin,0.04
Wang Xiaoshen,0.04
Thomas Sandell,0.04
Francesco Saputo,0.04
Dhruv Sawhney,0.04
Gerald Schwartz,0.04
Antonio Luiz Seabra,0.04
Eric Ya Shen,0.04
Sytse 'Sid' Sijbrandij,0.04
Alexander Sixt,0.04
Konstantin Sixt,0.04
Sam Tarascio,0.04
Abhay Soi,0.04
Mike Speiser,0.04
Marco Squinzi,0.04
Veronica Squinzi,0.04
Michael Steinhardt,0.04
Ion Stoica,0.04
Eddy Sugianto,0.04
Luc Tack,0.04
Tony Tan Caktiong,0.04
Xiuguo Tang,0.04
Edwin Soeryadjaya,0.04
George Sakellaris,0.04
Eddy Kusnadi Sariaatmadja,0.04
Neerja Sethi,0.04
Scott Smith,0.04
Amancio Ortega,0.04
Ivan Streshinsky,0.04
